BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
13,"","BBBSV16","Bachmann, R.; Bechara, P.; Bredtmann, J.; Schaffner, S. & Vonnahme, C.","Durchlassigkeit europaischer Arbeitsmarkte","",,,"","",2016,"","","","","","","","","","","","Bertelsmann Stiftung","","Bertelsmann Stiftung","","","","tenure; labour market transitions; labour market dynamics; worker flows; great recession; crisis; business cycle; shift-share analysis; demographic change","[Formatter not found: ResolvePDF] ",""
13,"978-92-897-1385-6","BFFGR15","Bachmann, R.; Felder, R.; Frings, H.; Giesecke, M. & Rzepka, S.","Job tenure in turbulent times","",,,"","",2015,"Luxembourg","","","","","","","","Publications Office of the European Union","","","European Foundation for the Improvement of Living and Working Conditions (Eurofound)","","European Foundation for the Improvement of Living and Working Conditions (Eurofound)","","","","tenure; labour market transitions; labour market dynamics; worker flows; great recession; crisis; business cycle; shift-share analysis; demographic change","[Formatter not found: ResolvePDF] ",""
9,"","Bankhead16","Bankhead, R.","The Gender Wage Gaps in Estonia and Latvia: A Comparative Empirical Analysis","",,,"","",2016,"","","","","","","","","","","","University of Nottingham","","University of Nottingham","","","","","[Formatter not found: ResolvePDF] ",""
13,"","BV14","Been, J. & van Vliet, O.","Early Retirement Across Europe. Does Non-Standard Employment Increase Participation of Older Workers?","",,10-2014-044,"","",2014,"","Discussion paper","","","","","","","","","","Netspar","Netspar Discussion Paper","Netspar","","Reforming Social Security","","early retirement; part-time employment; self-employment; social insurance programs; labor market institutions","[Formatter not found: ResolvePDF] ",""
13,"","BBCL15","Bloomfield, M.J.; Brüggemann, U.; Christensen, H.B. & Leuz, C.","The Effect of Regulatory Harmonization on Cross-border Labor Migration: Evidence from the Accounting Profession","",,20888,"January","",2015,"","","","","","","Working Paper Series","","","","","National Bureau of Economic Research","","National Bureau of Economic Research","","","","accounting harmonization; regulation; IFRS; European Union; labor migration and mobility","[Formatter not found: ResolvePDF] ",""
7,"","BH14","Braes, S. & Herremans, W.","Opleidingsmismatch tussen vraag en aanbod. De positie van Vlaanderen in Europa","Over.Werk. Tijdschrift van het Steunpunt Werk",24,1,"","37-43",2014,"","","http://www.steunpuntwerk.be/node/3051","","","","","","","","","","","","","","","NEET; youth; education; labour market; youth unemployment; flexibility; labour mobility","[Formatter not found: ResolvePDF] ",""
13,"978-92-896-1930-1","Cedefop15a","Cedefop","Job-related adult learning and continuing vocational training in Europe: a statistical picture","",,48,"","",2015,"Luxembourg","Cedefop research paper; Annexes: http://ec.europa.eu/eurostat/cros/system/files/29-2014-1-job-related_adult_learning_and_.-annex.pdf","","","","","","","Publications Office of the European Union","","","European Centre for the Development of Vocational Training (Cedefop)","","European Centre for the Development of Vocational Training (Cedefop)","","","","lifelong learning; adult learning; job-related non-formal education; employer-sponsored further education; continuing vocational education; human resource development; inequality in participation in further education; funding of lifelong learning; cost-sharing schemes in adult learning","[Formatter not found: ResolvePDF] ",""
13,"978-92-896-1991-2","Cedefop15b","Cedefop","Unequal access to job-related learning: evidence from the adult education survey","",,52,"","",2015,"Luxembourg","Cedefop research paper; Annexes: http://ec.europa.eu/eurostat/cros/system/files/29-2014-2-unequal_access_to_job-related_learing_.-annex.pdf","","","","","","","Publications Office of the European Union","","","European Centre for the Development of Vocational Training (Cedefop)","","European Centre for the Development of Vocational Training (Cedefop)","","","","lifelong learning; adult learning; job-related non-formal education; employer-sponsored further education; continuing vocational education; human resource development; inequality in participation in further education; funding of lifelong learning; cost-sharing schemes in adult learning","[Formatter not found: ResolvePDF] ",""
13,"978-92-897-1399-3","CHSGB15","Celikel-Esser, F.; Hurley, J.; Storrie, D.; Gerogiannis, E. & Broughton, A.","ERM Annual report 2014: Restructuring in the public sector","",,,"","",2015,"Luxembourg","","","","","","","","Publications Office of the European Union","","","European Foundation for the Improvement of Living and Working Conditions (Eurofound)","","European Foundation for the Improvement of Living and Working Conditions (Eurofound)","","","","tenure; labour market transitions; labour market dynamics; worker flows; great recession; crisis; business cycle; shift-share analysis; demographic change","[Formatter not found: ResolvePDF] ",""
13,"9789290842804","BGS15","Di Bartolomeo, A.; Gabrielli, G. & Strozza, S.","The migration and integration of Moroccan and Ukrainian migrants in Italy : policies and measures","",,,"","",2015,"","Embargoed until 2019","","","","","","","","","","European University Institute","","European University Institute","","","","integration; immigration; emigration polices; diaspora polices; labour market; educationv political participationv naturalisation; third country nationals","[Formatter not found: ResolvePDF] ",""
13,"978-92-823-6318-8","DLRRS15","Dreger, C.; Lopez-bazo, E. Ramos, R.; Royuela, V. & SurinachH, J.","Wage and Income Inequality in the European Union","",,IP/A/EMPL/2013-05,"","",2015,"","","http://www.europarl.europa.eu/thinktank/en/document.html?reference=IPOL_STU%282015%29536294","","","","","","","","","European Parliament - Directorate General for International Policies","","European Parliament - Directorate General for International Policies","","","","pay; pay policy; social inequality; labour market; income; collective bargaining; employment policy; European Union; wage determination; low pay; collective bargaining; equal pay; outsourcing; technological change; distribution of income; globalisation","[Formatter not found: ResolvePDF] ",""
13,"978-92-897-1541-6","DRA16","Dubois, H.; Runceanu, G. & Anderson, R.","Extending working lives through flexible retirement schemes: Partial retirement","",,,"","",2016,"Luxembourg","","","","","","","","Publications Office of the European Union","","","European Foundation for the Improvement of Living and Working Conditions (Eurofound)","","European Foundation for the Improvement of Living and Working Conditions (Eurofound)","","","","retirement; work; pension","[Formatter not found: ResolvePDF] ",""
13,"978-3-945981-26-9","BIB16","Friedrich, M.","Datenreport zum Berufsbildungsbericht 2016: Informationen und Analysen zur Entwicklung der beruflichen Bildung","",,,"","",2016,"","","","","","","","","","","","Bundesinstitut für Berufsbildung","","Bundesinstitut für Berufsbildung","","","","adult learning in Europe; training behavior of adults; training participation by different groups of person; continuing vocational training; training organization in enterprises and training types","[Formatter not found: ResolvePDF] ",""
13,"","FH15","Friesenbichler, K.S. & Hoelzl, W.","Strategic Cornerstones and Rapid Firm Growth: Evidence from European Manufacturing","",,,"","",2015,"","","","","","","","","","","","Austrian Institute of Economic Research","","Austrian Institute of Economic Research","","","","firm growth; dynamic strategy; innovation; CIS; Europe","[Formatter not found: ResolvePDF] ",""
13,"","Grammenos14","Grammenos, S.","European comparative data on Health of People with disabilities","",,,"","",2014,"","Final report - Task 6: Comparative data and indicators","","","","","","","","","","Academic Network of European Disability Experts","","Academic Network of European Disability Experts","","","","","[Formatter not found: ResolvePDF] ",""
13,"","HKL16","Hardy, W.; Keister, R. & Lewandowski, P.","Technology or upskilling? Trends in the task composition of labour markets in Central and Eastern Europe","",,01/2016,"","",2016,"","Policy paper","","","","","","","","","","Instytut Badan Strukturalnych","","Instytut Badan Strukturalnych","","","","task content of jobs; routinisation; job polarisation; Central and Eastern Europe","[Formatter not found: ResolvePDF] ",""
13,"9789088731181","HVRVNTSS15","Herremans, W.; Vanderbiesen, W.; Rober, A.; Vansteenkiste, S.; Neefs, B.; Theunissen, G.; Sels, L. & Sourbron, M.","Terugblik op de Vlaamse arbeidsmarkt. Ontwikkelingen sinds de jaren tachtig","",,1,"","",2015,"","","http://www.steunpuntwerk.be/node/3239","","","","","","","","","Steunpunt Werk en Sociale Economie","","Steunpunt Werk en Sociale Economie","","","","NEET; youth; education; labour market; youth unemployment; flexibility; labour mobility","[Formatter not found: ResolvePDF] ",""
13,"978-952-209-142-0","Husa15","Husa, T.","Eurooppalainen palkkavertailu ammateittain: tuloksia EU-SILC-aineistosta","",,298,"","",2015,"","Working paper","","","","","","","","","","Labour Institute for Economic Research (Palkansaajien tutkimuslaitos)","","Labour Institute for Economic Research (Palkansaajien tutkimuslaitos)","","","","occupational wage differences; international comparisons","[Formatter not found: ResolvePDF] ",""
13,"","ICILAS12","ICILAS","Final report","",,,"","",2012,"","","","","","","","","","","","THALES Programme","","THALES Programme","","","","","[Formatter not found: ResolvePDF] ",""
13,"9789522091338","KSY14","Kangasniemi, M.; Sauramo, P. & Yanar, O.","Suomalainen palkkataso EU-vertailussa","",,29,"","",2014,"","","","","","","","","","","","Labour Institute for Economic Research (Palkansaajien tutkimuslaitos)","","Labour Institute for Economic Research (Palkansaajien tutkimuslaitos)","","","","wage differentials; international comparisons; wage dispersion; wage setting institutions","[Formatter not found: ResolvePDF] ",""
7,"","Kaufmann15","Kaufmann, K.","Non-Formal Education in International Comparison: Patterns of Participation and Investment in Selected European Countries","International Journal for Research in Vocational Education and Training",2,4,"","239-267",2015,"","","","","","","","","","","","","","","","","","NFE; participation; investment patterns; international comparison; AES 2011; vocational education;, training","[Formatter not found: ResolvePDF] ",""
6,"","KR14","Kaufmann, K. & Reichart, E.","Participation in vocational adult education and training (AET) in international comparison: Patterns of investment \& providers","",,,"","",2014,"","","","Proc. ECER Conference","","","","","","","","","","","","","","NFE; participation; investment patterns; international comparison; AES 2011; vocational education; training","[Formatter not found: ResolvePDF] ",""
13,"","KL16","Keister, R. & Lewandowski, P.","A routine transition? Causes and consequences of the changing content of jobs in Central and Eastern Europe","",,05/2016,"","",2016,"","Policy paper","","","","","","","","","","Instytut Badan Strukturalnych","","Instytut Badan Strukturalnych","","","","task content of jobs; routinisation; job polarisation; Central and Eastern Europe","[Formatter not found: ResolvePDF] ",""
13,"978-92-823-7237-1","LPPR1515","Lodovici, M.S.; Patrizio, M.; Pesce, F. & Roletto, E.","Elderly women living alone: an update of their living conditions","",,IP/A/EMPL/2013-05,"","",2015,"","Study for the FEMM Commitee","","","","","","","","","","European Parliament - Directorate General for International Policies","","European Parliament - Directorate General for International Policies","","","","poverty; pension scheme; structural adjustment; social policy; EU Member State; elderly person; household income; gender equality; retirement conditions; socioeconomic conditions; older worker; care for the elderly; ageing of the population; one person household","[Formatter not found: ResolvePDF] ",""
13,"","LP15","Lyberaki, A. & Prontzas, E.","Informal social protection, the hybrid Greek welfare state and economic crisis dynamics","",,,"","",2015,"","","","","","","","","","","","Panteion University","","Panteion University","","","","","[Formatter not found: ResolvePDF] ",""
7,"","Malmusi14","Malmusi, D.","Immigrants� health and health inequality by type of integration policies in European countries","European Journal of Public Health",25,25,"","293-299",2014,"","supplementary data: http://eurpub.oxfordjournals.org/content/eurpub/suppl/2014/08/20/cku156.DC1/ejph-2014-05-om-0401-z.pdf","","","","","","","","","","","","","","","","","[Formatter not found: ResolvePDF] ",""
13,"978-92-897-1550-8","MBL16","Mascherini, M.; Bisello, M. & Leston, I.R.","The gender employment gap: Challenges and solutions","",,,"","",2016,"","","","","","","","","Publications Office of the European Union","","","European Foundation for the Improvement of Living and Working Conditions (Eurofound)","","European Foundation for the Improvement of Living and Working Conditions (Eurofound)","","","","gender equality; gender gap; gender segregation; pay; unpaid work; labour market participation; working women","[Formatter not found: ResolvePDF] ",""
